Code,active_from,Commdts,mine
8625-HQ-LML,Never,"Cobalt, Copper, Iron Ore, Manganese, Nickel, Uranium",0
8622-HQ-LML,Never,Iron Ore,0
8611-HQ-LML,Never,"Cobalt, Copper, Mineral Sands, Silver, Zinc",0
8509-HQ-LML,Never,"Beryllium, Emerald",0
25089-HQ-LML,Never,"Copper, Gold, Iron Ore, Manganese, Tin",0
20813-HQ-SML,Never,Emerald,0
20282-HQ-LML,Never,"Cobalt, Copper, Gold, Silver",0
19820-HQ-LML,Never,"Antimony, Arsenic, Chromium, Cobalt, Copper, Germanium, Gold, Iron Ore, Lead, Manganese, Molybdenum, Nickel, Niobium (Columbium), Rare EarthsElements, Selenium, Silver, Sulfur, Tantalum, Tin, Vanadium, Zinc",0
19624-HQ-LML,Never,Limestone (General),0
17894-HQ-LML,Never,"Chromium, Cobalt, Copper, Gold, Nickel, Rare EarthsElements, Silver, Titanium, Uranium, Vanadium",0
17868-HQ-LML,Never,Manganese,0
17611-HQ-LML,Never,Coal,0
17526-HQ-LEL,Never,"Beryllium, Emerald",0
15547-HQ-LML,Never,"Cobalt, Copper, Gold, Lead, Nickel, Platinum Group Metals, Silver, Zinc",0
14948-HQ-LML,Never,"Bentonite, Clay (General), Cobalt, Copper, Dolomite, Gold, Granite, Lead, Limestone (General), Manganese, Marble, Mica, Quartz, Sandstone, Silica, Silver, Stone, Zinc",0
14182-HQ-LML,Never,,0
13881-HQ-LML,Never,Uranium,0
13287-HQ-LML,Never,"Cobalt, Copper, Gold, Lead, Manganese, Silver, Zinc",0
13207-HQ- LML,Never,Copper,0
12634-HQ-LML,Never,Uranium,0
